
** Map info dump

Setup Area human_world_solitary_region in FDAT file index 44

Objects 
idx  in_file offset type     
0    5af0    25b2f0 unknown       tile(  3f,  40,  4c)   3f  40  4c   0  20   0   0   4   0   0   0   0   0  f6  22   0  4b  fd  ff  ff  ff  ff  ff  ff
1    5b08    25b308 unknown       tile(  3f,  40,  4c)   3f  40  4c   0  20   0   0   4   0   0   0  f8   0  f6  22   0   0  fe   0   0  ff  ff  ff  ff
2    5b20    25b320 unknown       tile(  3f,  40,  4c)   3f  40  4c   0  20   0   0   4   0   0   0  f8   0   a  22   0   0  fe   0   0  ff  ff  ff  ff
3    5b38    25b338 unknown       tile(  41,  40,  4c)   41  40  4c   0  20   0   0   4   0   0   0  f8   0   a  24   0  50  fd  ff  ff  ff  ff  ff  ff
4    5b50    25b350 unknown       tile(  41,  40,  4c)   41  40  4c   0  20   0   0   4   0   0   0   0   0   a  24   0   0  fe   0   0  ff  ff  ff  ff
5    5b68    25b368 unknown       tile(  42,  40,  4c)   42  40  4c   0  20   0   0   4   0   0   0   0   0   a  25   0   0  fe   0   0  ff  ff  ff  ff
6    5b80    25b380 unknown       tile(  42,  40,  48)   42  40  48   0  20   0   0   0   0   a   0   0   0   0  2b   0  46  fd  ff  ff  ff  ff  ff  ff
7    5b98    25b398 unknown       tile(  42,  40,  49)   42  40  49   0  20   0   0   0   0   a   0   0   0   0  2a   0   0  fe   0   0  ff  ff  ff  ff
8    5bb0    25b3b0 unknown       tile(  42,  40,  48)   42  40  48   0  20   0   0   0   0  f6   0  f8   0   0  2b   0   0  fe   0   0  ff  ff  ff  ff
9    5bc8    25b3c8 unknown       tile(  44,  40,  48)   44  40  48   0  20   0   0   0   0  f6   0  f8   0   0  31   0   0  fe   0   0  ff  ff  ff  ff
10   5be0    25b3e0 unknown       tile(  44,  40,  48)   44  40  48   0  20   0   0   0   0   a   0  f8   0   0  31   0   0  fe   0   0  ff  ff  ff  ff
11   5bf8    25b3f8 unknown       tile(  44,  40,  49)   44  40  49   0  10   0   0   8   0   0   0   0  40   1  32   0  20  ff  32   0  63   0   1  ff
12   5c10    25b410 unknown       tile(  49,  40,  48)   49  40  48   0  1c   0   0   0   0   0   0   0   0   0  43   0   d  fc  43   0  61   0   1  ff
13   5c28    25b428 scenery       tile(  48,  40,  48)   48  40  48   0  1b   0   0   0   0   0   0   0   0   0  42   0   0   0   0   0   0   0   0   0
14   5c40    25b440 scenery       tile(  47,  40,  48)   47  40  48   0  1a   0   0   3   0   8   0   0  48  f4  3e   0   0   0   0   0   0   0   0   0
15   5c58    25b458 scenery       tile(  48,  40,  49)   48  40  49   0  1a   0   0   9   0  fc   0   0  24  fa  47   0   0   0   0   0   0   0   0   0
16   5c70    25b470 scenery       tile(  49,  40,  4a)   49  40  4a   0  1a   0   0   a  d0   7   0   0   0   1  4b   0   0   0   0   0   0   0   0   0
17   5c88    25b488 scenery       tile(  49,  40,  49)   49  40  49   0  1b   0   0   0   0  fe   0   0   0   0  48   0   0   0   0   0   0   0   0   0
18   5ca0    25b4a0 scenery       tile(  47,  40,  4a)   47  40  4a   0  1b   0   0   0   0   0   0   0   0   0  4d   0   0   0   0   0   0   0   0   0
19   5cb8    25b4b8 unknown       tile(  47,  40,  49)   47  40  49   0  1c   0   0   0   0   0   0   0   0   0  46   0   f  fc  46   0  62   0   1  ff
20   5cd0    25b4d0 scenery       tile(  48,  40,  4a)   48  40  4a   0  1b   0   0   0   0   0   0   0   0   0  4c   0   0   0   0   0   0   0   0   0
21   5ce8    25b4e8 scenery       tile(  41,  40,  47)   41  40  47   0  19   0   0   0   0  f8   0   0   0   7   c   0   0   0   0   0   0   0   0   0
22   5d00    25b500 scenery       tile(  40,  40,  47)   40  40  47   0  19   0   0   0   0  f8   0   0   0   7   c   0   0   0   0   0   0   0   0   0
23   5d18    25b518 scenery       tile(  3f,  40,  47)   3f  40  47   0  19   0   0   0   0  f8   0   0   0   7  17   0   0   0   0   0   0   0   0   0
24   5d30    25b530 scenery       tile(  3d,  40,  4a)   3d  40  4a   0  19   0   0   0   0   8   0   0   0  f9  1b   0   0   0   0   0   0   0   0   0
25   5d48    25b548 scenery       tile(  3e,  40,  4a)   3e  40  4a   0  19   0   0   0   0   8   0   0   0  f9  14   0   0   0   0   0   0   0   0   0
26   5d60    25b560 scenery       tile(  3f,  40,  4a)   3f  40  4a   0  19   0   0   0   0   8   0   0   0  f9  13   0   0   0   0   0   0   0   0   0
27   5d78    25b578 scenery       tile(  40,  40,  4a)   40  40  4a   0  19   0   0   0   0   8   0   0   0  f9  10   0   0   0   0   0   0   0   0   0
28   5d90    25b590 scenery       tile(  3d,  40,  47)   3d  40  47   0  19   0   0   0   0   8   0   0   0   7  18   0   0   0   0   0   0   0   0   0
29   5da8    25b5a8 scenery       tile(  49,  40,  4a)   49  40  4a   0  1a   0   0   4  9c  ff   0   0   0   c  52   0   0   0   0   0   0   0   0   0
30   5dc0    25b5c0 scenery       tile(  47,  40,  48)   47  40  48   0  1a   0   0   6   0  f4   0   0   0   4  40   0   0   0   0   0   0   0   0   0
31   5dd8    25b5d8 exit-door     tile(  44,  40,  4e)   44  40  4e   0  fc   0   0   0   0   0   0   0   0   0  60   0  fd   0  fc   0   0   5  ff   0
32   5df0    25b5f0 gate-index    tile(  44,  40,  4d)   44  40  4d   0  fc   0   0   0   0   0   0   0   0   0  5b   0  ff  ff  ff   1   1   4  ff   0
33   5e08    25b608 gate-index    tile(  47,  40,  4d)   47  40  4d   0  fc   0   0   0   0   0   0   0   0   0  59   0  ff  ff  ff   1   1   4  ff   0
34   5e20    25b620 exit-door     tile(  47,  40,  4e)   47  40  4e   0  fc   0   0   0   0   0   0   0   0   0  5a   0   0   0  fc   1   1   5  ff   0
35   5e38    25b638 exit-door     tile(  49,  42,  47)   49  42  47   0  fc   0   0   0   0   0   0   0   0   0  5d   0   0   0  f9   0   0   1   2  ef
36   5e50    25b650 gate-index    tile(  49,  42,  48)   49  42  48   0  fc   0   0   0   0   0   0   0   0   0  5c   0  ff  ff  ff   1   1   4  ff   0
37   5e68    25b668 gate-index    tile(  40,  40,  41)   40  40  41   0  fc   0   0   0   0   0   0   0   0  fc   2   0  ff  ff  ff   1   1   4  ff   0
38   5e80    25b680 exit-door     tile(  40,  40,  40)   40  40  40   0  fc   0   0   0   0   0   0   0   0  fc   0   0   5   3   0   0   0   0  ff  f8
39   5e98    25b698 scenery       tile(  3e,  40,  48)   3e  40  48   0  ba   0   0   4  7c  fc   0  f8   0   8  19   0   0   0   0   0   0   0   0   0
40   5eb0    25b6b0 gate-1        tile(  3d,  40,  48)   3d  40  48   0  fb   0   0   0   0   0   0   0   0   8  1d   0  80  80   1  7f  80   2  f0   0
41   5ec8    25b6c8 gate-5        tile(  46,  40,  48)   46  40  48   0  fb   0   0   0   0   0   0   0   0   0  40   0  80  80   5  7f  80   2   0   3
42   5ee0    25b6e0 unknown       tile(  47,  40,  4c)   47  40  4c   0  10   0   0   8   0   0   0   0   0   0  54   0  20  ff  54   0  64   0   1  ff
43   5ef8    25b6f8 gate-0        tile(  40,  40,  4c)   40  40  4c   0  fb   0   0   0   0   0   0   0   0  f6   f   0  80  80   0  7f  80   2  f0   0
44   5f10    25b710 gate-2        tile(  42,  40,  49)   42  40  49   0  fb   0   0   0   0  f6   0   0   0   0  2a   0  80  80   2  7f  80   2  f0   0
45   5f28    25b728 gate-3        tile(  43,  40,  4c)   43  40  4c   0  fb   0   0   0   0   0   0   0   0   0  26   0  80  80   3  7f  80   2  f0   0
46   5f40    25b740 gate-4        tile(  44,  40,  49)   44  40  49   0  fb   0   0   0   0   8   0   0   0  fc  32   0  80  80   4  7f  80   2  f0   0
47   5f58    25b758 gate-6        tile(  4a,  40,  4a)   4a  40  4a   0  fb   0   0   0   0   0   0   0   0   0  4a   0  80  80   6  7f  80   2  f0   0
48   5f70    25b770 gate-7        tile(  40,  40,  43)   40  40  43   0  fb   0   0   0   0   a   0   0   0   0   6   0  80  80   7  7f  80   2  f0   0
49   5f88    25b788 scenery       tile(  42,  40,  46)   42  40  46   0  da   0   0   8   0   0  24  fa   0   0  2d   0   7   0   0   0   0   0   0   0
50   5fa0    25b7a0 scenery       tile(  3d,  40,  4c)   3d  40  4c   0  dd   0   0   4   0   0  24  fa   0   0  21   0   6   0   0   0   0   0   0   0

Setup Area human_world_hidden_region in FDAT file index 54

Objects 
idx  in_file offset type     
0    5af0    2f5af0 scenery       tile(  41,  40,  45)   41  40  45   0  81   0   0   e   0  fc   0   0   0  fc   8   0   0   0   0   0   0   0   0   0
1    5b08    2f5b08 scenery       tile(  41,  40,  43)   41  40  43   0  80   0   0   4   0  f8   0   0   0   8   5   0   0   0   0   0   0   0   0   0
2    5b20    2f5b20 scenery       tile(  41,  40,  44)   41  40  44   0  22   0   0   2  dc   5   0   0   0  fc   6   0   0   0   0   0   0   0   0   0
3    5b38    2f5b38 scenery       tile(  46,  40,  42)   46  40  42   0  21   0   0   c   0  fe   0  fc   0   0   4   0   0   0   0   0   0   0   0   0
4    5b50    2f5b50 scenery       tile(  3f,  40,  44)   3f  40  44   0  3c   0   0   0   0   4   0   0   0   0  10   0   0   0   0   0   0   0   0   0
5    5b68    2f5b68 scenery       tile(  40,  40,  44)   40  40  44   0  3c   0   0   0   0   0   0   0   0   0   a   0   0   0   0   0   0   0   0   0
6    5b80    2f5b80 scenery       tile(  3f,  40,  41)   3f  40  41   0  db   0   0   8   0   0  24  fa   0   0   d   0   8   0   0   0   0   0   0   0
7    5b98    2f5b98 scenery       tile(  40,  40,  48)   40  40  48   0  1f   0   0   4   0   0   0   0   0   0  3e   0   0   0   0   0   0   0   0   0
8    5bb0    2f5bb0 scenery       tile(  3f,  40,  4b)   3f  40  4b   0  1f   0   0   4   0   0   0   0   0   0  49   0   0   0   0   0   0   0   0   0
9    5bc8    2f5bc8 exit-door     tile(  3d,  40,  3b)   3d  40  3b   0  fc   0   0   0   0   0   0   0   0   0  1f   0   4   0   d   0   0   4  ff   0
10   5be0    2f5be0 gate-index    tile(  3d,  40,  3c)   3d  40  3c   0  fc   0   0   0   0   0   0   0   0   0  21   0  ff  ff  ff   1   1   5  ff   0
11   5bf8    2f5bf8 gate-index    tile(  40,  40,  3c)   40  40  3c   0  fc   0   0   0   0   0   0   0   0   0  22   0  ff  ff  ff   1   1   5  ff   0
12   5c10    2f5c10 totem         tile(  42,  40,  4d)   42  40  4d   0   0   0   0   c   0   c   0   0   0   0  92   0   0   0   0   0   0   0   0   0
13   5c28    2f5c28 exit-door     tile(  40,  40,  3b)   40  40  3b   0  fc   0   0   0   0   0   0   0   0   0  1f   0   7   0   d   0   0   4  ff   0
14   5c40    2f5c40 unknown       tile(  44,  40,  4b)   44  40  4b   0  39   0   0   4   0   0   0   0   0  fa  53   0  14  ff  53   0  9b   0   1  ff
15   5c58    2f5c58 unknown       tile(  41,  40,  4b)   41  40  4b   0  3a   0   0   4   0   0   0   0   0   0  47   0  20  fc  47   0  98   0   1  ff
16   5c70    2f5c70 unknown       tile(  41,  40,  49)   41  40  49   0  3a   0   0   4   0   0   0   0   0   0  33   0  20  fc  33   0  99   0   1  ff
